iter	Passed	Remaining
238	17225	54846
239	17297	54773
240	17376	54726
241	17443	54637
242	17509	54546
243	17575	54455
244	17647	54384
245	17718	54307
246	17785	54221
247	17852	54132
248	17920	54048
249	17991	53973
250	18061	53897
251	18127	53807
252	18156	53608
253	18227	53534
254	18292	53444
255	18363	53369
256	18429	53281
257	18497	53199
258	18564	53114
259	18634	53036
260	18706	52964
261	18773	52879
262	18842	52801
263	18909	52717
264	18979	52639
265	19045	52555
266	19115	52478
267	19187	52408
268	19253	52319
269	19322	52241
270	19396	52176
271	19469	52109
272	19536	52026
273	19604	51945
274	19677	51877
275	19704	51689
276	19778	51623
277	19845	51541
278	19913	51462
279	19979	51376
280	20050	51303
281	20117	51221
282	20184	51138
283	20248	51050
284	20320	50979
285	20370	50856
286	20445	50793
287	20514	50715
288	20577	50625
289	20645	50546
290	20714	50468
291	20780	50385
292	20856	50325
293	20927	50255
294	21003	50195
295	21074	50121
296	21138	50035
297	21205	49954
298	21279	49890
299	21354	49826
300	21428	49762
301	21493	49677
302	21562	49600
303	21629	49521
304	21695	49437
305	21761	49355
306	21824	49265
307	21893	49189
308	21958	49105
309	22022	49018
310	22088	48935
311	22159	48863
312	22226	48785
313	22294	48707
314	22359	48623
315	22429	48549
316	22494	48465
317	22561	48387
318	22633	48317
319	22703	48245
320	22774	48174
321	22840	48091
322	22908	48015
323	22974	47934
324	23045	47863
325	23112	47784
326	23182	47711
327	23258	47651
328	23330	47582
329	23411	47532
330	23480	47457
331	23545	47375
332	23608	47288
333	23678	47214
334	23744	47133
335	23816	47066
336	23888	46997
337	23958	46925
338	24026	46848
339	24094	46772
340	24169	46709
341	24238	46633
342	24312	46568
343	24378	46489
344	24443	46406
345	24514	46337
346	24582	46259
347	24644	46172
348	24708	46089
349	24775	46011
350	24841	45932
351	24909	45856
352	24975	45776
353	25042	45699
354	25108	45620
355	25184	45558
356	25265	45506
357	25337	45438
358	25407	45365
359	25474	45287
360	25548	45222
361	25617	45149
362	25686	45074
363	25754	44999
364	25822	44923
365	25888	44845
366	25956	44769
367	26020	44687
368	26097	44627
369	26166	44554
370	26231	44472
371	26295	44391
372	26361	44312
373	26428	44236
374	26495	44159
375	26560	44079
376	26631	44008
377	26707	43946
378	26774	43871
379	26845	43800
380	26915	43729
381	26984	43655
382	27054	43583
383	27128	43518
384	27204	43455
385	27280	43394
386	27359	43337
387	27428	43263
388	27496	43188
389	27568	43119
390	27633	43040
391	27703	42968
392	27776	42900
393	27841	42821
394	27911	42750
395	27982	42680
396	28054	42611
397	28119	42532
398	28186	42456
399	28255	42383
400	28328	42316
401	28400	42247
402	28466	42170
403	28532	42092
404	28601	42019
405	28673	41951
406	28743	41879
407	28811	41805
408	28882	41735
409	28955	41667
410	29021	41590
411	29091	41518
412	29161	41447
413	29232	41377
414	29309	41316
415	29377	41241
416	29447	41169
417	29519	41101
418	29587	41026
419	29651	40946
420	29721	40875
421	29796	40811
422	29867	40741
423	29933	40664
424	30015	40609
425	30088	40541
426	30164	40477
427	30235	40408
428	30309	40342
429	30377	40267
430	30445	40194
431	30517	40124
432	30593	40061
433	30660	39986
434	30731	39915
435	30799	39841
436	30867	39767
437	30933	39691
438	31004	39620
439	31076	39551
440	31146	39480
441	31213	39405
442	31273	39321
443	31339	39245
444	31415	39180
445	31486	39111
446	31558	39042
447	31632	38975
448	31699	38900
449	31764	38823
450	31833	38750
451	31902	38678
452	31974	38608
453	32051	38547
454	32126	38480
455	32197	38411
456	32267	38339
457	32334	38264
458	32403	38192
459	32470	38117
460	32538	38044
461	32606	37970
462	32671	37892
463	32738	37818
464	32806	37744
465	32870	37667
466	32942	37598
467	33016	37531
468	33089	37463
469	33160	37394
470	33243	37337
471	33326	37280
472	33449	37268
473	33518	37195
474	33582	37117
475	33649	37042
476	33718	36970
477	33788	36898
478	33857	36826
479	33925	36752
480	33989	36674
481	34060	36604
482	34138	36541
483	34203	36464
484	34275	36395
485	34346	36324
486	34412	36250
487	34486	36182
488	34557	36112
489	34627	36040
490	34699	35971
491	34767	35898
492	34837	35826
493	34902	35749
494	34973	35680
495	35040	35606
496	35107	35531
497	35180	35463
498	35243	35385
499	35308	35308
500	35374	35233
501	35438	35156
502	35508	35084
503	35577	35012
504	35644	34938
505	35714	34867
506	35787	34799
507	35856	34727
508	35919	34649
509	35989	34577
510	36065	34512
511	36136	34442
512	36203	34368
513	36275	34299
514	36344	34227
515	36416	34158
516	36488	34089
517	36556	34016
518	36627	33945
519	36700	33877
520	36776	33811
521	36852	33745
522	36922	33674
523	36988	33600
524	37058	33528
525	37123	33453
526	37194	33383
527	37265	33312
528	37327	33234
529	37400	33166
530	37467	33092
531	37530	33015
532	37599	32943
533	37672	32875
534	37752	32812
535	37824	32743
536	37892	32670
537	37960	32597
538	38028	32525
539	38099	32454
540	38167	32382
541	38235	32309
542	38304	32237
543	38373	32166
544	38444	32095
545	38512	32022
546	38584	31954
547	38657	31885
548	38724	31811
549	38794	31741
550	38861	31667
551	38928	31594
552	38989	31516
553	39061	31446
554	39129	31374
555	39203	31306
556	39271	31234
557	39340	31162
558	39403	31086
559	39469	31011
560	39532	30935
561	39608	30869
562	39675	30796
563	39753	30731
564	39827	30663
565	39900	30595
566	39973	30526
567	40039	30452
568	40112	30383
569	40183	30313
570	40258	30246
571	40337	30182
572	40406	30111
573	40477	30041
574	40542	29966
575	40610	29893
576	40678	29821
577	40744	29747
578	40815	29677
579	40892	29612
580	40958	29538
581	41027	29466
582	41095	29394
583	41161	29320
584	41228	29247
585	41297	29176
586	41368	29106
587	41439	29036
588	41507	28963
589	41573	28889
590	41639	28816
591	41708	28744
592	41773	28670
593	41837	28595
594	41908	28525
595	41976	28453
596	42053	28387
597	42117	28313
598	42191	28245
599	42271	28181
600	42354	28118
601	42427	28049
602	42497	27979
603	42565	27907
604	42631	27833
605	42696	27760
606	42773	27693
607	42844	27623
608	42914	27552
609	42980	27479
610	43055	27412
611	43129	27343
612	43205	27276
613	43270	27202
614	43338	27130
615	43406	27058
616	43472	26985
617	43541	26914
618	43609	26842
619	43675	26768
620	43745	26697
621	43815	26627
622	43885	26556
623	43956	26486
624	44021	26413
625	44088	26340
626	44161	26271
627	44240	26206
628	44312	26136
629	44383	26066
630	44453	25995
631	44524	25925
632	44591	25853
633	44663	25783
634	44737	25715
635	44808	25644
636	44877	25573
637	44953	25506
638	45029	25439
639	45093	25365
640	45165	25295
641	45234	25224
642	45300	25151
643	45370	25080
644	45440	25009
645	45505	24936
646	45574	24865
647	45642	24793
648	45704	24718
649	45768	24644
650	45842	24576
651	45908	24503
652	45976	24431
653	46045	24360
654	46117	24290
655	46187	24220
656	46254	24147
657	46325	24078
658	46393	24006
659	46463	23935
660	46530	23863
661	46602	23793
662	46672	23723
663	46741	23652
664	46815	23583
665	46886	23513
666	46963	23446
667	47038	23378
668	47102	23304
669	47177	23236
670	47246	23165
671	47311	23092
672	47383	23022
673	47448	22949
674	47514	22877
675	47579	22804
676	47645	22732
677	47714	22660
678	47782	22589
679	47850	22517
680	47915	22445
681	47981	22372
682	48052	22302
683	48118	22230
684	48189	22160
685	48253	22086
686	48317	22013
687	48380	21940
688	48441	21865
689	48507	21793
690	48576	21722
691	48644	21650
692	48706	21576
693	48771	21504
694	48837	21432
695	48902	21359
696	48973	21289
697	49036	21216
698	49101	21143
699	49164	21070
700	49227	20997
701	49294	20925
702	49363	20854
703	49426	20781
704	49491	20709
705	49561	20638
706	49630	20568
707	49695	20496
708	49768	20426
709	49840	20357
710	49908	20286
711	49975	20214
712	50039	20142
713	50106	20070
714	50174	19999
715	50239	19927
716	50304	19855
717	50369	19783
718	50452	19717
719	50533	19651
720	50605	19582
721	50667	19509
722	50728	19435
723	50792	19362
724	50860	19291
725	50927	19220
726	50991	19148
727	51055	19075
728	51121	19003
729	51190	18933
730	51253	18860
731	51316	18787
732	51381	18716
733	51445	18643
734	51512	18572
735	51579	18501
736	51646	18430
737	51712	18358
738	51778	18287
739	51845	18215
740	51912	18144
741	51979	18073
742	52046	18002
743	52117	17932
744	52182	17860
745	52251	17790
746	52319	17719
747	52383	17647
748	52451	17577
749	52517	17505
750	52580	17433
751	52646	17362
752	52712	17290
753	52771	17217
754	52836	17145
755	52908	17076
756	52970	17003
757	53037	16932
758	53103	16861
759	53166	16789
760	53231	16717
761	53293	16645
762	53359	16574
763	53422	16502
764	53484	16429
765	53550	16358
766	53619	16288
767	53689	16218
768	53752	16146
769	53815	16074
770	53879	16003
771	53944	15931
772	54011	15861
773	54074	15789
774	54143	15719
775	54207	15647
776	54269	15575
777	54333	15503
778	54400	15433
779	54467	15362
780	54533	15291
781	54600	15221
782	54666	15150
783	54736	15080
784	54803	15009
785	54869	14939
786	54937	14868
787	54999	14796
788	55062	14725
789	55127	14654
790	55190	14582
791	55255	14511
792	55318	14439
793	55385	14369
794	55452	14298
795	55518	14228
796	55584	14157
797	55653	14087
798	55719	14016
799	55782	13945
800	55847	13874
801	55914	13804
802	55978	13733
803	56047	13663
804	56112	13592
805	56174	13520
806	56238	13449
807	56303	13379
808	56369	13308
809	56439	13238
810	56505	13168
811	56569	13097
812	56637	13027
813	56702	12956
814	56766	12885
815	56831	12814
816	56891	12743
817	56961	12673
818	57026	12602
819	57088	12531
820	57155	12461
821	57219	12390
822	57285	12320
823	57353	12250
824	57416	12179
825	57481	12108
826	57549	12038
827	57615	11968
828	57685	11899
829	57752	11828
830	57816	11758
831	57879	11687
832	57949	11617
833	58015	11547
834	58080	11476
835	58149	11407
836	58213	11336
837	58280	11266
838	58345	11196
839	58409	11125
840	58476	11055
841	58543	10985
842	58611	10915
843	58675	10845
844	58740	10774
845	58804	10704
846	58872	10634
847	58938	10564
848	59001	10493
849	59066	10423
850	59133	10353
851	59200	10283
852	59264	10213
853	59328	10142
854	59392	10072
855	59460	10002
856	59525	9932
857	59594	9862
858	59657	9792
859	59718	9721
860	59797	9653
861	59861	9583
862	59923	9512
863	59987	9442
864	60051	9372
865	60114	9301
866	60184	9232
867	60251	9162
868	60319	9092
869	60389	9023
870	60454	8953
871	60521	8883
872	60583	8813
873	60654	8744
874	60721	8674
875	60787	8604
876	60846	8533
877	60914	8464
878	60978	8394
879	61041	8323
880	61109	8254
881	61175	8184
882	61239	8114
883	61306	8044
884	61371	7974
885	61438	7905
886	61508	7835
887	61573	7766
888	61638	7696
889	61704	7626
890	61766	7556
891	61827	7485
892	61895	7416
893	61958	7346
894	62026	7276
895	62093	7207
896	62156	7137
897	62224	7067
898	62291	6998
899	62356	6928
900	62422	6858
901	62490	6789
902	62552	6719
903	62616	6649
904	62683	6580
905	62749	6510
906	62813	6440
907	62875	6370
908	62938	6300
909	63004	6231
910	63067	6161
911	63135	6091
912	63201	6022
913	63264	5952
914	63332	5883
915	63396	5813
916	63460	5743
917	63527	5674
918	63595	5605
919	63660	5535
920	63725	5466
921	63791	5396
922	63855	5327
923	63919	5257
924	63988	5188
925	64050	5118
926	64116	5049
927	64183	4979
928	64245	4910
929	64312	4840
930	64376	4771
931	64443	4701
932	64508	4632
933	64573	4562
934	64642	4493
935	64707	4424
936	64772	4355
937	64839	4285
938	64906	4216
939	64973	4147
940	65039	4077
941	65104	4008
942	65169	3939
943	65236	3869
944	65304	3800
945	65370	3731
946	65437	3662
947	65502	3592
948	65570	3523
949	65637	3454
950	65702	3385
951	65768	3316
952	65834	3246
953	65894	3177
954	65959	3108
955	66024	3038
956	66090	2969
957	66155	2900
958	66221	2831
959	66288	2762
960	66360	2693
961	66422	2623
962	66487	2554
963	66554	2485
964	66620	2416
965	66684	2347
966	66750	2277
967	66816	2208
968	66882	2139
969	66947	2070
970	67009	2001
971	67072	1932
972	67140	1863
973	67205	1793
974	67271	1724
975	67337	1655
976	67399	1586
977	67465	1517
978	67534	1448
979	67600	1379
980	67667	1310
981	67737	1241
982	67799	1172
983	67864	1103
984	67930	1034
985	67996	965
986	68072	896
987	68145	827
988	68209	758
989	68279	689
990	68352	620
991	68433	551
992	68506	482
993	68572	413
994	68648	344
995	68722	275
996	68796	207
997	68869	138
998	68941	69
999	69012	0
