iter	Logloss
0	0.6800355232
1	0.6685010623
2	0.6573431554
3	0.6470078628
4	0.6376017098
5	0.62873664
6	0.6210278039
7	0.6131207204
8	0.6066218352
9	0.6002815525
10	0.59429861
11	0.5890258296
12	0.583789818
13	0.5788710122
14	0.5747408338
15	0.5705332061
16	0.5666224685
17	0.5632293056
18	0.5601311607
19	0.5569536676
20	0.554196437
21	0.5514552418
22	0.5489843334
23	0.5466086426
24	0.5444748651
25	0.5423988022
26	0.5407843454
27	0.5391790969
28	0.5375054937
29	0.535796349
30	0.534262996
31	0.5327438872
32	0.5314739722
33	0.5302024323
34	0.5288499615
35	0.5278806789
36	0.526816684
37	0.5256028139
38	0.5246324226
39	0.5236199141
40	0.5228347091
41	0.5219415048
42	0.5212009876
43	0.5205141559
44	0.5197233684
45	0.5189624579
46	0.5184511932
47	0.517865759
48	0.5171590727
49	0.516563423
50	0.5159599837
51	0.5153817429
52	0.5148533985
53	0.5142620264
54	0.5136651283
55	0.513069782
56	0.5127502113
57	0.5123222126
58	0.5118582725
59	0.5114570299
60	0.511105774
61	0.5106117715
62	0.5103168521
63	0.5099049439
64	0.509564586
65	0.5091708954
66	0.5088883252
67	0.5086452664
68	0.5083020221
69	0.5079603279
70	0.507584331
71	0.5071132846
72	0.5067153153
73	0.5064572006
74	0.506156362
75	0.5059250704
76	0.5056544418
77	0.5053774835
78	0.5049640665
79	0.5045977156
80	0.5043585962
81	0.5041142103
82	0.5038784834
83	0.5036652836
84	0.5033969941
85	0.5031805056
86	0.5029031223
87	0.5027481211
88	0.5024494043
89	0.5022436681
90	0.5020306224
91	0.5017395393
92	0.5014753741
93	0.5013405542
94	0.5010729918
95	0.5008720829
96	0.500710134
97	0.5004512897
98	0.500288729
99	0.5001507315
100	0.4999450125
101	0.4997363672
102	0.4994490833
103	0.4992896027
104	0.4990853845
105	0.4989331981
106	0.4987506553
107	0.4985882853
108	0.4984460733
109	0.498330308
110	0.4981444539
111	0.4980435915
112	0.4979384655
113	0.4978028771
114	0.4976590432
115	0.4974667983
116	0.4973724722
117	0.4972931968
118	0.497098357
119	0.4969012104
120	0.4967898319
121	0.4966885117
122	0.4964715306
123	0.496291037
124	0.4960876245
125	0.4959855435
126	0.4958576173
127	0.4957336608
128	0.4955848205
